hs_key,Category,Subcategory
0101,Animal & Animal Products,Live animals
0102,Animal & Animal Products,Live animals
0103,Animal & Animal Products,Live animals
0104,Animal & Animal Products,Live animals
0105,Animal & Animal Products,Live animals
0106,Animal & Animal Products,Live animals
0201,Animal & Animal Products,Meat and edible meat offal
0202,Animal & Animal Products,Meat and edible meat offal
0203,Animal & Animal Products,Meat and edible meat offal
0204,Animal & Animal Products,Meat and edible meat offal
0205,Animal & Animal Products,Meat and edible meat offal
0206,Animal & Animal Products,Meat and edible meat offal
0207,Animal & Animal Products,Meat and edible meat offal
0208,Animal & Animal Products,Meat and edible meat offal
0209,Animal & Animal Products,Meat and edible meat offal
0210,Animal & Animal Products,Meat and edible meat offal
0301,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0302,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0303,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0304,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0305,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0306,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0307,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0308,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0309,Animal & Animal Products,"Fish and crustaceans, molluscs and other aquatic invertebrates"
0401,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0402,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0403,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0404,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0405,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0406,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0407,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0408,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0409,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0410,Animal & Animal Products,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
0501,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0502,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0503,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0504,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0505,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0506,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0507,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0508,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0509,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0510,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0511,Animal & Animal Products,"Products of animal origin, not elsewhere specified or included"
0601,Vegetable Products,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
0602,Vegetable Products,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
0603,Vegetable Products,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
0604,Vegetable Products,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
0701,Vegetable Products,Edible vegetables and certain roots and tubers
0702,Vegetable Products,Edible vegetables and certain roots and tubers
0703,Vegetable Products,Edible vegetables and certain roots and tubers
0704,Vegetable Products,Edible vegetables and certain roots and tubers
0705,Vegetable Products,Edible vegetables and certain roots and tubers
0706,Vegetable Products,Edible vegetables and certain roots and tubers
0707,Vegetable Products,Edible vegetables and certain roots and tubers
0708,Vegetable Products,Edible vegetables and certain roots and tubers
0709,Vegetable Products,Edible vegetables and certain roots and tubers
0710,Vegetable Products,Edible vegetables and certain roots and tubers
0711,Vegetable Products,Edible vegetables and certain roots and tubers
0712,Vegetable Products,Edible vegetables and certain roots and tubers
0713,Vegetable Products,Edible vegetables and certain roots and tubers
0714,Vegetable Products,Edible vegetables and certain roots and tubers
0801,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0802,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0803,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0804,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0805,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0806,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0807,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0808,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0809,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0810,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0811,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0812,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0813,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0814,Vegetable Products,Edible fruit and nuts; peel of citrus fruit or melons
0901,Vegetable Products,"Coffee, tea, mate and spices"
0902,Vegetable Products,"Coffee, tea, mate and spices"
0903,Vegetable Products,"Coffee, tea, mate and spices"
0904,Vegetable Products,"Coffee, tea, mate and spices"
0905,Vegetable Products,"Coffee, tea, mate and spices"
0906,Vegetable Products,"Coffee, tea, mate and spices"
0907,Vegetable Products,"Coffee, tea, mate and spices"
0908,Vegetable Products,"Coffee, tea, mate and spices"
0909,Vegetable Products,"Coffee, tea, mate and spices"
0910,Vegetable Products,"Coffee, tea, mate and spices"
1001,Vegetable Products,Cereals
1002,Vegetable Products,Cereals
1003,Vegetable Products,Cereals
1004,Vegetable Products,Cereals
1005,Vegetable Products,Cereals
1006,Vegetable Products,Cereals
1007,Vegetable Products,Cereals
1008,Vegetable Products,Cereals
1101,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
1102,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
1103,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
1104,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
1105,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
1106,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
1107,Vegetable Products,Products of the milling industry; malt; starches; inulin; wheat gluten
